nama_sppg,alamat,provinsi,kab_kota,kecamatan,desa
"SPPG Bogor Rumpin Gobang","Kampung Cibuluh, Rt.01/Rw 02. Desa Gobang, Kecamatan Rumpin, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","GOBANG"
"SPPG Bogor Gunung Putri Bojong Nangka 5","Jl. Raya Pabuaran Blok B1 No.1, Rt.001/Rw.013, Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Kota Bogor Bogor Selatan Lawanggintung","Jl. Gedung Tujuh, Sekip Blok Kampung Babakan Undak, Rt.02/Rw.01, Lawanggintung, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","LAWANGGINTUNG"
"SPPG Bogor Gunung Sindur Pengasinan","Jl. Kampung Kb. Kopi, Rt.01/Rw.07, Pengasinan, Kec. Gunung Sindur, Kabupaten Bogor, Jawa Barat 16340","JAWA BARAT","BOGOR","GUNUNG SINDUR","PENGASINAN"
"SPPG Bogor Ciampea Bojongrangkas","Jl. Wr. Borong KM. 12, Bojong Rangkas, Kec. Ciampea, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","BOJONGRANGKAS"
"SPPG Bogor Sukamakmur Wargajaya 2","Jl. Raya Puncak Sukamakmur, Wargajaya, Kec. Sukamakmur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAMAKMUR","WARGAJAYA"
"SPPG Bogor Cibinong Tengah 4","Jl. Raya Pondok Rajeg No.3, Tengah, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","TENGAH"
"SPPG Bogor Cibungbulang Situ Ilir 2","Kampung Bantar Karet Rt.004 Rw.001 Desa Situ Ilir, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","SITU ILIR"
"SPPG Bogor Gunung Sindur Pengasinan","Jl. Kampung Kb. Kopi, Rt.01/Rw.07, Pengasinan, Kec. Gunung Sindur, Kabupaten Bogor, Jawa Barat 16340","JAWA BARAT","BOGOR","GUNUNG SINDUR","PENGASINAN"
"SPPG Bogor Rumpin Gobang","Kampung Cibuluh, Rt.01/Rw 02. Desa Gobang, Kecamatan Rumpin, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","GOBANG"
"SPPG Bogor Ciampea Bojongrangkas","Jl. Wr. Borong KM. 12, Bojong Rangkas, Kec. Ciampea, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","BOJONGRANGKAS"
"SPPG Bogor Gunung Putri Bojong Nangka 5","Jl. Raya Pabuaran Blok B1 No.1, Rt.001/Rw.013, Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Sukamakmur Wargajaya 2","Jl. Raya Puncak Sukamakmur, Wargajaya, Kec. Sukamakmur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAMAKMUR","WARGAJAYA"
"SPPG Bogor Dramaga Babakan","Kp. Cibereum Rt. 03 Rw. 02 Desa Neglasari, Kecamatan Dramaga, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","NEGLASARI"
"SPPG Kota Bogor Bogor Barat Marga Jaya","Jl. Raya Dramaga No.1, Margajaya, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","MARGA JAYA"
"SPPG Bogor Cijeruk Tanjungsari","Jl. Raya Cihideung, Tj. Sari, Kec. Cijeruk, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","TANJUNGSARI"
"SPPG Bogor Cibungbulang Situ Ilir 2","Kampung Bantar Karet Rt.004 Rw.001 Desa Situ Ilir, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","SITU ILIR"
"SPPG Bogor Cibinong Tengah 4","Jl. Raya Pondok Rajeg No.3, Tengah, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","TENGAH"
"SPPG Bogor Pamijahan Pasarean","Jl. Kh Abdul Hamid Kampung Kawakilan 1 Rt 002 Rw 003 Desa Pasarean","JAWA BARAT","BOGOR","PAMIJAHAN","PASAREAN"
"SPPG Kota Bogor Bogor Utara Bantarjati","`Perumahan Indrapasta I, Jl. Arimbi IV No. 10, Kelurahan Bantarjati, Bogor Utara, Kota Bogor, BANTARJATI, BOGOR UTARA, KOTA BOGOR, JAWA BARAT`","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","BANTARJATI"
"SPPG Bogor Cibinong Nanggewer 4","Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER"
"SPPG Bogor Cibinong Tengah 4","Jl. Raya Pondok Rajeg No.3, Tengah, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","TENGAH"
"SPPG Bogor Cibungbulang Situ Ilir 2","Kampung Bantar Karet Rt.004 Rw.001 Desa Situ Ilir, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","SITU ILIR"
"SPPG Bogor Cileungsi Cileungsi 3","Jl. Raya Narogong Km 14 , Rt 01 / Rw 15, Kel. Cileungsi, Kec. Cileungsi, Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Bogor Ciomas Kota Batu 2","Jl. Raya Kapten Yusuf Kampung Cibogel Gang Bebas Rt.1/Rw.8 No.32 Desa Kota Batu, Kecamatan Ciomas, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIOMAS","KOTA BATU"
"SPPG Bogor Gunung Putri Bojong Kulur","Kampung Bubulak, Jl. Melati 1 Ujung No. 84, Bojong Kulur, Kec. Gunung Putri, Kab. Bogor, Jawa Barat 16969","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG KULUR"
"SPPG Kota Bogor Bogor Tengah Babakan 2","Jl. Tangkuban Prahu No 10, Babakan, Bogor Tengah, Kotamadya Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","BABAKAN"
"SPPG Bogor Cileungsi Situsari 2","Jl. Cipeucang, Situ Sari, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","SITUSARI"
"SPPG Bogor Babakan Madang Citaringgul","Jl. Raya Babakan Madang, Citaringgul No.11 Rt 001 Rw 001, Kec. Babakan Madang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BABAKAN MADANG","CITARINGGUL"
"SPPG Bogor Cibinong Tengah 4","Jl. Raya Pondok Rajeg No.3, Tengah, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","TENGAH"
"SPPG Bogor Gunung Putri Bojong Nangka 5","Jl. Raya Pabuaran Blok B1 No.1, Rt.001/Rw.013, Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Cibungbulang Situ Ilir 2","Kampung Bantar Karet Rt.004 Rw.001 Desa Situ Ilir, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","SITU ILIR"
"SPPG Tuban Merakurak Bogorejo","Jl. Raya Bogorejo Rt. 001 Rw. 005 Desa Bogorejo Kec. Merakurak Kab. Tuban Jawa Timur","JAWA TIMUR","TUBAN","MERAKURAK","BOGOREJO"
"SPPG Bogor Rumpin Cipinang","Kampung Joglo. Rt 001 Rw 005. Desa Cipinang, Kec. Rumpin, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","CIPINANG"
"SPPG Bogor Cibinong Sukahati","Perumahan Kodim 0621 / Kab. Bogor, JL. Raya Sukahati, Kel. Sukahati, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16913","JAWA BARAT","BOGOR","CIBINONG","SUKAHATI"
"SPPG Bogor Parung Panjang Gorowong","Kampung Nagreg, Desa Gorowong, Kec. Parung Panjang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","GOROWONG"
"SPPG Bogor Dramaga Babakan","Kp. Cibereum Rt. 03 Rw. 02 Desa Neglasari, Kecamatan Dramaga, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","NEGLASARI"
"SPPG Bogor Dramaga Dramaga 3","Jl. Lingkar Dramaga, Kec. Dramaga, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","DRAMAGA"
"SPPG Bogor Tamansari Pasireurih","Jl. E Sumawijaya, Rt 002 Rw 04, Pasireurih, Kec. Tamansari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","PASIREURIH"
"SPPG Bogor Bojong Gede Ragajaya","Kp Sawah, RT003/RW001, Desa Ragajaya, Kec. Bojonggede, Kabupaten Bogor","JAWA BARAT","BOGOR","BOJONG GEDE","RAGAJAYA"
"SPPG Bogor Jonggol Singajaya 2","Jl.M Bakri No 5b Rt 01/ Rw 02 Singajaya Jonggol Bogor 16830","JAWA BARAT","BOGOR","JONGGOL","SINGAJAYA"
"SPPG Bogor Cisarua Jogjogan 2","Jl. Jogjoggan Rt 001 Rw 001, Jogjogan, Kec. Cisarua, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISARUA","JOGJOGAN"
"SPPG Bogor Klapanunggal Kembang Kuning","Jl. Raya Narogong Rt 009 Rw 003, Kembang Kuning, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","KEMBANG KUNING"
"SPPG Bogor Cibinong Pondok Rajeg 2","Jl. Raya Pondok Rajeg Rt 01 Rw 07, Pondok Rajeg, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","PONDOK RAJEG"
"SPPG Bogor Bojong Gede Cimanggis 3","Jl. Raya Bilabong Permai, Cimanggis, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","CIMANGGIS"
"SPPG Bogor Bojong Gede Bojonggede 3","Jl. Kampung Sawah Indah 004/009 Desa Bojonggede, Kec. Bojonggede, Kab. Bogor Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","BOJONGGEDE"
"SPPG Bogor Parung Warujaya 4","Kawasan Yayasan Al-Ashriyyah Nurul Iman Islamic Boarding School Jl. Nurul Iman No.01, Warujaya, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","JAWA BARAT","BOGOR","PARUNG","WARUJAYA"
"SPPG Bogor Cijeruk Cipelang 2","Kelurahan Cipelang, Kecamatan Cijeruk, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","CIPELANG"
"SPPG Bogor Cileungsi Pasirangin 2","Jl. Pasir Angin Rt03/Rw 03, Pasirangin, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","PASIRANGIN"
"SPPG Kota Bogor Bogor Selatan Rangga Mekar 3","Jl. Cipinang Gading Rt 04 Rw 07, Ranggamekar, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","RANGGA MEKAR"
"SPPG Bogor Tamansari Pasireurih","Jl. E Sumawijaya, Rt 002 Rw 04, Pasireurih, Kec. Tamansari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","PASIREURIH"
"SPPG Bogor Cisarua Jogjogan 2","Jl. Jogjoggan Rt 001 Rw 001, Jogjogan, Kec. Cisarua, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISARUA","JOGJOGAN"
"SPPG Bogor Klapanunggal Kembang Kuning","Jl. Raya Narogong Rt 009 Rw 003, Kembang Kuning, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","KEMBANG KUNING"
"SPPG Bogor Tenjo Tapos","Jl. Raya Tapos Kampung Cekdam Rt. 004 Rw.003 Desa Tapos, Kecamatan Tenjo, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJO","TAPOS"
"SPPG Bogor Bojong Gede Cimanggis 3","Jl. Raya Bilabong Permai, Cimanggis, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","CIMANGGIS"
"SPPG Kota Bogor Tanah Sareal Kencana","Jl. Kalimurni Barat, Perumahan Darmais, Rt 003/002","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KENCANA"
"SPPG Bogor Parung Warujaya 4","Kawasan Yayasan Al-Ashriyyah Nurul Iman Islamic Boarding School Jl. Nurul Iman No.01, Warujaya, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","JAWA BARAT","BOGOR","PARUNG","WARUJAYA"
"SPPG Bogor Bojong Gede Ragajaya","Kp Sawah, RT003/RW001, Desa Ragajaya, Kec. Bojonggede, Kabupaten Bogor","JAWA BARAT","BOGOR","BOJONG GEDE","RAGAJAYA"
"SPPG Bogor Bojong Gede Bojonggede 3","Jl. Kampung Sawah Indah 004/009 Desa Bojonggede, Kec. Bojonggede, Kab. Bogor Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","BOJONGGEDE"
"SPPG Bogor Bojong Gede Cimanggis 3","Jl. Raya Bilabong Permai, Cimanggis, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","CIMANGGIS"
"SPPG Bogor Bojong Gede Ragajaya","Kp Sawah, RT003/RW001, Desa Ragajaya, Kec. Bojonggede, Kabupaten Bogor","JAWA BARAT","BOGOR","BOJONG GEDE","RAGAJAYA"
"SPPG Bogor Klapanunggal Kembang Kuning","Jl. Raya Narogong Rt 009 Rw 003, Kembang Kuning, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","KEMBANG KUNING"
"SPPG Bogor Bojong Gede Ragajaya 3","Jl. Tugu Macan, Citayam, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","RAGAJAYA"
"SPPG Kota Bogor Bogor Barat Semplak","Jl. Fajar Indah No.1, Semplak, Kec. Bogor Bar., Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","SEMPLAK"
"SPPG Bogor Ciseeng Putat Nutug","Jl. Haji Miing Rt 04/02, Putat Nutug, Kec. Ciseeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","PUTAT NUTUG"
"SPPG Bogor Tamansari Pasireurih","Jl. E Sumawijaya, Rt 002 Rw 04, Pasireurih, Kec. Tamansari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","PASIREURIH"
"SPPG Bogor Cisarua Jogjogan 2","Jl. Jogjoggan Rt 001 Rw 001, Jogjogan, Kec. Cisarua, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISARUA","JOGJOGAN"
"SPPG Bogor Nanggung Parakanmuncang 2","Kp Pakapuran Rt 2 / Rw 6","JAWA BARAT","BOGOR","NANGGUNG","PARAKANMUNCANG"
"SPPG Bogor Cileungsi Cileungsi","Jl. Ciuncal, Setusari, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat. , Situsari, Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Bogor Cibungbulang Cimanggu I","Jl. Cimanggu I Desa Cimanggu, Kec. Cibungbulang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIMANGGU I"
"SPPG Bogor Parung Panjang Kabasiran","Kp. Kabasiran RT 02/RW 02, Kabasiran, Parungpanjang, Bogor","JAWA BARAT","BOGOR","PARUNG PANJANG","KABASIRAN"
"SPPG Bogor Nanggung Parakanmuncang 2","Kp Pakapuran Rt 2 / Rw 6","JAWA BARAT","BOGOR","NANGGUNG","PARAKANMUNCANG"
"SPPG Bogor Cigombong Tugujaya","Kampung Citugu Rt 004/011 Desa Tugujaya, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","TUGUJAYA"
"SPPG Bogor Cariu Tegalpanjang","Kampung Tegal Panjang Rt.01 Rw.01, Tegalpanjang, Kec. Cariu, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARIU","TEGALPANJANG"
"SPPG Kota Bogor Bogor Utara Tegal Gundil 5","Jl. Achmad Adnawijaya Jl. Pandu Raya Blok F 1 No 4. Rt/Rw 001/013, Tegal Gundil, Kecamatan Bogor Utara, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TEGAL GUNDIL"
"SPPG Bogor Tajurhalang Citayam","Jl. Tengah kp. Kaliputih RT 004 RW 003, Desa Citayam, Kec. Tajurhalang, Kab. Bogor, Jawa Barat.","JAWA BARAT","BOGOR","TAJURHALANG","CITAYAM"
"SPPG Bogor Ciomas Pagelaran","Jl. Bukit Asri Raya Ciomas, RT 001/RW 003 No. 49B","JAWA BARAT","BOGOR","CIOMAS","PAGELARAN"
"SPPG Kota Bogor Bogor Selatan Cipaku","Jl. Kampung Sukawarna No. 03, RT/RW 04/05 Kel. Cipaku, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","CIPAKU"
"SPPG Bogor Tamansari Sukamantri 2","Jl. Kp. Nyalindung No 1, RT 02/ RW 05, Sukamantri, Kec. Tamansari, Kabupaten. Bogor, Jawa Barat 16610","JAWA BARAT","BOGOR","TAMANSARI","SUKAMANTRI"
"SPPG Bogor Sukamakmur Sukamakmur","Jl. Sukamakmur Sukajaya, Nomor 77, Rt 02 Rw 08 Sukamakmur Kecamatan Sukamakmur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAMAKMUR","SUKAMAKMUR"
"SPPG Bogor Ciseeng Cibeuteung Muara","Jl. Raya H. Usa Kampung Legok Nyuenang Rt.1 Rw.1 Desa Cibeuteung Muara, Kec. Ciseeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","CIBEUTEUNG MUARA"
"SPPG Bogor Cisarua Cisarua 2","Cibedug, Kecamatan Cisarua, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISARUA","CISARUA"
"SPPG Kota Bogor Bogor Selatan Cipaku","Jl. Kampung Sukawarna No. 03, RT/RW 04/05 Kel. Cipaku, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","CIPAKU"
"SPPG Bogor Tajurhalang Citayam","Jl. Tengah kp. Kaliputih RT 004 RW 003, Desa Citayam, Kec. Tajurhalang, Kab. Bogor, Jawa Barat.","JAWA BARAT","BOGOR","TAJURHALANG","CITAYAM"
"SPPG Bogor Ciomas Pagelaran","Jl. Bukit Asri Raya Ciomas, RT 001/RW 003 No. 49B","JAWA BARAT","BOGOR","CIOMAS","PAGELARAN"
"SPPG Bogor Bojong Gede Bojongbaru","Jl. Tegar Beriman No.8F, Bojong Baru, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat 16920, BOJONGBARU, BOJONG GEDE, KAB. BOGOR, JAWA BARAT","JAWA BARAT","BOGOR","BOJONG GEDE","BOJONGBARU"
"SPPG Bogor Pamijahan Cibitung Kulon","Kampung Ciaseupan Rt 002 Rw 005 Desa Cibitung Kulon, Kecamatan Pamijahan, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","CIBITUNG KULON"
"SPPG Kota Bogor Bogor Utara Tegal Gundil 5","Jl. Achmad Adnawijaya Jl. Pandu Raya Blok F 1 No 4. Rt/Rw 001/013, Tegal Gundil, Kecamatan Bogor Utara, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TEGAL GUNDIL"
"SPPG Bogor Nanggung Parakanmuncang 2","Kp Pakapuran Rt 2 / Rw 6","JAWA BARAT","BOGOR","NANGGUNG","PARAKANMUNCANG"
"SPPG Bogor Cigombong Tugujaya","Kampung Citugu Rt 004/011 Desa Tugujaya, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","TUGUJAYA"
"SPPG Bogor Parung Panjang Kabasiran","Kp. Kabasiran RT 02/RW 02, Kabasiran, Parungpanjang, Bogor","JAWA BARAT","BOGOR","PARUNG PANJANG","KABASIRAN"
"SPPG Bogor Cileungsi Cileungsi","Jl. Ciuncal, Setusari, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat. , Situsari, Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Bogor Cibungbulang Cimanggu I","Jl. Cimanggu I Desa Cimanggu, Kec. Cibungbulang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIMANGGU I"
"SPPG Bogor Cariu Tegalpanjang","Kampung Tegal Panjang Rt.01 Rw.01, Tegalpanjang, Kec. Cariu, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARIU","TEGALPANJANG"
"SPPG Bogor Gunung Sindur Rawakalong 2","Jl. Bungur Indah No. 31 RT/RW 01/09 Rawa Kalong (Rumah Joglo Pagar Coklat) Gunung Sindur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG SINDUR","RAWAKALONG"
"SPPG Bogor Cigombong Ciburuy 3","Desa Ciburuy Rt.003 002, Ciburuy, Kec. Cigombong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","CIBURUY"
"SPPG Kota Bogor Bogor Utara Tegal Gundil 2","Jl. Gagalur I No.97, Rt.001/Rw.014, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TEGAL GUNDIL"
"SPPG Bogor Cigombong Ciburayut 3","Kampung Cijahe, Rt 004, Rw 005, Desa Ciburayut, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","CIBURAYUT"
"SPPG Tegal Suradadi Jatibogor","Gang kosambi RT 03 RW 07 desa Jatibogor Kecamatan Suradadi Kabupaten Tegal Jawa Tengah","JAWA TENGAH","TEGAL","SURADADI","JATIBOGOR"
"SPPG Bogor Jasinga Tegalwangi","Kavling B, Kampung Nanggung, Rt05/Rw03, Desa Tegal Wangi, Kecamatan Jasinga, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","JASINGA","TEGALWANGI"
"SPPG Kota Bogor Tanah Sareal Kedung Jaya 1","Jl. Cempaka blok Z-II No. 2A, Kedung Jaya, Tanah Sareal, Bogor","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEDUNG JAYA"
"SPPG Bogor Citeureup Tarikolot 2","Jl Sabililah No. 121 Desa Tarikolot, Kec. Citeureup, Kab Bogor","JAWA BARAT","BOGOR","CITEUREUP","TARIKOLOT"
"SPPG Kota Bogor Tanah Sareal Tanah Sareal 1","Jl. Dadali 50/8C, Rt 005, Rw 05, Tanah Sareal, Kec. Tanah Sareal, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","TANAH SAREAL"
"SPPG Bogor Cibungbulang Situ Udik","Kampung Tegalsari Rt.002 Rw.08, Situ Udik, Kec. Cibungbulang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","SITU UDIK"
"SPPG Bogor Gunung Sindur Gunungsindur 2","Kampung Gunung Sindur Rt 003 Rw 012 Desa Gunung Sindur Kec. Gunung Sindur Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG SINDUR","GUNUNGSINDUR"
"SPPG Kota Bogor Bogor Utara Bantarjati 2","Jl. Ceremai Ujung No. 53 , Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","BANTARJATI"
"SPPG Bogor Cigudeg Cigudeg 4","Kavling A, Kampung Cihaok, Rt 002 Rw 022, Desa Cigudeg, Kecamatan Cigudeg, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGUDEG","CIGUDEG"
"SPPG Bogor Gunung Putri Bojong Nangka 2","Jl. Kampung Sanding 2, Rt.013/Rw.006, Bojong Nangka, Kecamatan Gunung Putri, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Cisarua Citeko","Jalan Citeko No. 13, Kelurahan Citeko, Kecamatan Cisarua, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CISARUA","CITEKO"
"SPPG Bogor Ranca Bungur Pasirgaok","Jl.Letkol Atang Senjaya RT 003/RW 001 Desa Pasirgaok, Kecamatan Ranca Bungur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","RANCA BUNGUR","PASIRGAOK"
"SPPG Bogor Nanggung Curugbitung","Jl. Ace Tabrani, Curugbitung, Kec. Nanggung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","NANGGUNG","CURUGBITUNG"
"SPPG Bogor Pamijahan Ciasihan","Kampung Rangin Rt 004 Rw 004 Desa Ciasihan, Kecamatan Pamijahan, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","CIASIHAN"
"SPPG Bogor Klapanunggal Klapanunggal","Kampung Cibugis Rt 01 Rw 05, Klapanunggal, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","KLAPANUNGGAL"
"SPPG Bogor Megamendung Cipayung 2","Jl. Raya Puncak, Cipayung Datar, Kecamatan Megamendung, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","MEGAMENDUNG","CIPAYUNG"
"SPPG Bogor Sukamakmur Sukamulya","Jl. Raya Sukamakmur, Kampung Cikeruh, RT 02, RW 01, Desa Sukamulya, Kec. Sukamakmur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAMAKMUR","SUKAMULYA"
"SPPG Bogor Cibungbulang Cimanggu II 2","Jl. Kopral Karta Atmajaya RT 001/ RW 009, Desa Cimanggu II, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIMANGGU II"
"SPPG Bogor Ciomas Laladon 3","Jl. Damai Rt 04 Rw 05 Desa Laladon, Kec. Ciomas, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIOMAS","LALADON"
"SPPG Bogor Tamansari Sukajadi","Kampung Gadog Kaler Rt/Rw 01/03, Desa Sukajadi, Kecamatan Tamansari Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","SUKAJADI"
